frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff,label
frame_maX_0.51_0.81,101.26911505404703,0.0,-0.8165245881284102,403.6856243975423,356.9336518101172,46.75197258742509,16.3270321394682,9.067631345679104,7.259400793789098,NB
frame_le_0.81_0.88,49.05896280248501,0.0,-0.8804284990518044,381.53003920206345,340.2927395954443,41.23729960661916,15.2839270787903,6.729586279934907,8.554340798855392,NB
frame_ni_0.88_0.94,8.594852446015892,0.29,-0.591830861692945,380.5895624353923,339.74179323146484,40.8477692039275,15.317606545375495,11.378668713425071,3.938937831950426,NB
frame_gos_1.23_1.33,71.8734234228466,0.0,-0.6813105687559958,414.7995549866567,370.896988648616,43.902566338040685,4.8635218494399055,1.3499116442171726,3.513610205222733,NB
frame_ta_1.33_1.42,119.4156604717702,0.0,-0.8165245881284088,417.97824867756304,373.1423056242456,44.835943053317465,24.94662880747279,7.509550053949454,17.437078753523338,NB
frame_ri_1.42_1.55,122.83214743026456,0.0,0.2697647648646808,419.8589277551857,373.0344317354886,46.82449601969705,50.036740933717056,13.387497302417216,36.64924363129984,NB
frame_a_1.55_1.6,,0.0,-0.6811569956366303,394.2536336153569,351.72787142053744,42.52576219481944,,,,NB
frame_ki_1.6_1.7,0.640077056359388,0.0,-0.3046323195070686,409.4603465266461,367.7754518491007,41.684894677545344,28.879294391959547,8.925829447365032,19.953464944594515,NB
frame_vo_1.7_1.76,11.01021291666362,0.0,-0.8739373730143152,383.4763432830078,344.18791543860954,39.28842784439826,48.89649780229638,20.743816939063837,28.152680863232547,NB
frame_se_1.76_1.82,173.5304909780098,0.0,-0.8804284990518044,381.7608421128816,341.3352389001108,40.4256032127708,0.3621380342084137,0.2081445524666918,0.1539934817417219,NB
frame_dZi_1.82_1.9,21.5885911515268,0.0,-0.4482315906000092,412.09777631336806,367.5556515642661,44.54212474910196,10.373719903375587,6.35021614894444,4.023503754431147,NB
frame_se_1.9_1.98,40.40124528316062,0.0,-0.4804393314092012,407.6334608808971,365.6244042233511,42.00905665754601,9.998890741394035,6.677306983763714,3.321583757630321,NB
frame_si_1.98_2.05,139.23432951158236,0.0,-0.5918308616929466,382.7636352831622,343.0537885387436,39.709846744418655,6.584230453831097,3.556947374594003,3.027283079237094,NB
